iter	Passed	Remaining
355	7722	13970
356	7742	13944
357	7762	13920
358	7782	13895
359	7802	13871
360	7823	13847
361	7842	13821
362	7862	13796
363	7882	13773
364	7901	13745
365	7920	13719
366	7940	13695
367	7960	13671
368	7982	13649
369	8003	13626
370	8023	13603
371	8045	13581
372	8066	13558
373	8086	13534
374	8107	13512
375	8127	13488
376	8147	13464
377	8166	13437
378	8185	13412
379	8204	13385
380	8225	13363
381	8244	13337
382	8264	13313
383	8285	13291
384	8304	13266
385	8325	13243
386	8345	13219
387	8367	13198
388	8386	13173
389	8406	13149
390	8425	13123
391	8445	13099
392	8467	13077
393	8487	13054
394	8508	13032
395	8529	13009
396	8548	12984
397	8569	12961
398	8587	12935
399	8609	12913
400	8630	12892
401	8651	12869
402	8670	12844
403	8691	12821
404	8711	12798
405	8730	12773
406	8750	12749
407	8769	12724
408	8793	12705
409	8813	12683
410	8831	12655
411	8851	12632
412	8869	12606
413	8882	12572
414	8905	12553
415	8925	12530
416	8939	12497
417	8959	12474
418	8978	12449
419	8997	12425
420	9018	12403
421	9040	12382
422	9063	12362
423	9078	12332
424	9097	12308
425	9115	12282
426	9136	12260
427	9158	12240
428	9181	12220
429	9198	12193
430	9219	12171
431	9239	12148
432	9258	12124
433	9278	12100
434	9297	12075
435	9316	12051
436	9333	12024
437	9354	12002
438	9372	11976
439	9390	11951
440	9408	11926
441	9429	11903
442	9446	11877
443	9470	11859
444	9489	11834
445	9512	11815
446	9532	11793
447	9554	11772
448	9574	11749
449	9586	11717
450	9608	11696
451	9626	11671
452	9645	11647
453	9665	11624
454	9687	11603
455	9706	11580
456	9727	11557
457	9749	11537
458	9767	11512
459	9787	11489
460	9807	11467
461	9829	11446
462	9849	11423
463	9875	11407
464	9895	11384
465	9915	11362
466	9934	11338
467	9956	11317
468	9975	11293
469	9999	11275
470	10019	11253
471	10038	11229
472	10062	11211
473	10080	11186
474	10100	11163
475	10120	11140
476	10139	11117
477	10162	11097
478	10181	11074
479	10200	11050
480	10222	11030
481	10245	11010
482	10266	10988
483	10286	10967
484	10308	10945
485	10327	10922
486	10344	10897
487	10363	10873
488	10385	10852
489	10409	10834
490	10430	10813
491	10451	10791
492	10473	10771
493	10494	10749
494	10514	10726
495	10532	10702
496	10550	10677
497	10569	10654
498	10588	10630
499	10607	10607
500	10626	10583
501	10646	10561
502	10669	10542
503	10688	10519
504	10710	10497
505	10732	10477
506	10756	10459
507	10777	10438
508	10797	10415
509	10816	10392
510	10834	10367
511	10853	10344
512	10875	10324
513	10894	10301
514	10918	10282
515	10937	10259
516	10958	10238
517	10977	10214
518	10997	10192
519	11018	10170
520	11031	10142
521	11051	10120
522	11071	10098
523	11092	10076
524	11115	10056
525	11135	10034
526	11157	10014
527	11177	9992
528	11196	9969
529	11221	9951
530	11239	9927
531	11258	9903
532	11279	9882
533	11292	9854
534	11313	9833
535	11333	9811
536	11353	9788
537	11373	9767
538	11395	9746
539	11415	9724
540	11433	9700
541	11455	9679
542	11473	9656
543	11494	9635
544	11514	9613
545	11533	9589
546	11553	9568
547	11573	9545
548	11592	9523
549	11614	9503
550	11634	9480
551	11658	9462
552	11678	9440
553	11702	9420
554	11721	9398
555	11740	9375
556	11763	9355
557	11787	9336
558	11812	9318
559	11841	9303
560	11866	9285
561	11896	9271
562	11917	9250
563	11936	9227
564	11957	9206
565	11977	9184
566	11996	9161
567	12014	9138
568	12035	9116
569	12055	9094
570	12075	9072
571	12091	9047
572	12113	9027
573	12135	9006
574	12155	8984
575	12177	8963
576	12199	8943
577	12218	8921
578	12237	8898
579	12256	8875
580	12275	8853
581	12294	8830
582	12315	8808
583	12336	8787
584	12357	8766
585	12378	8745
586	12398	8723
587	12417	8701
588	12440	8680
589	12459	8658
590	12480	8636
591	12499	8614
592	12524	8595
593	12547	8576
594	12564	8552
595	12585	8531
596	12608	8511
597	12627	8489
598	12647	8466
599	12667	8445
600	12688	8423
601	12708	8401
602	12727	8379
603	12748	8358
604	12768	8336
605	12788	8314
606	12808	8292
607	12822	8267
608	12842	8245
609	12862	8223
610	12882	8201
611	12904	8181
612	12914	8153
613	12935	8132
614	12954	8109
615	12965	8082
616	12984	8060
617	13007	8040
618	13028	8019
619	13049	7997
620	13068	7975
621	13086	7952
622	13105	7930
623	13129	7911
624	13147	7888
625	13167	7866
626	13188	7845
627	13208	7823
628	13230	7803
629	13250	7781
630	13269	7760
631	13293	7740
632	13314	7719
633	13338	7699
634	13358	7678
635	13379	7657
636	13403	7637
637	13423	7616
638	13442	7594
639	13459	7571
640	13482	7550
641	13497	7526
642	13517	7504
643	13538	7483
644	13559	7462
645	13580	7441
646	13598	7419
647	13610	7393
648	13631	7372
649	13650	7350
650	13674	7330
651	13693	7308
652	13708	7284
653	13727	7262
654	13744	7239
655	13766	7219
656	13785	7197
657	13806	7175
658	13819	7151
659	13839	7129
660	13859	7107
661	13878	7086
662	13898	7064
663	13921	7044
664	13944	7024
665	13966	7004
666	13987	6983
667	14006	6961
668	14026	6939
669	14038	6914
670	14057	6892
671	14074	6869
672	14092	6847
673	14112	6826
674	14131	6804
675	14153	6783
676	14171	6761
677	14190	6739
678	14210	6718
679	14231	6697
680	14251	6675
681	14271	6654
682	14290	6632
683	14310	6611
684	14334	6591
685	14359	6572
686	14387	6554
687	14419	6538
688	14446	6520
689	14480	6505
690	14502	6485
691	14532	6468
692	14542	6442
693	14575	6426
694	14595	6405
695	14615	6383
696	14635	6362
697	14656	6341
698	14675	6319
699	14693	6297
700	14713	6275
701	14735	6255
702	14752	6232
703	14771	6210
704	14795	6190
705	14814	6169
706	14834	6147
707	14855	6126
708	14875	6105
709	14895	6084
710	14916	6063
711	14935	6041
712	14946	6016
713	14965	5994
714	14984	5973
715	15006	5952
716	15027	5931
717	15049	5910
718	15067	5888
719	15087	5867
720	15110	5847
721	15131	5826
722	15150	5804
723	15170	5783
724	15191	5762
725	15209	5740
726	15229	5719
727	15250	5697
728	15269	5676
729	15290	5655
730	15310	5633
731	15329	5612
732	15350	5591
733	15370	5570
734	15389	5548
735	15409	5527
736	15427	5505
737	15447	5483
738	15465	5462
739	15479	5438
740	15498	5417
741	15509	5392
742	15529	5371
743	15549	5350
744	15572	5330
745	15592	5308
746	15611	5287
747	15632	5266
748	15653	5245
749	15672	5224
750	15693	5203
751	15714	5182
752	15733	5160
753	15752	5139
754	15772	5118
755	15791	5096
756	15812	5075
757	15832	5054
758	15863	5036
759	15884	5016
760	15908	4996
761	15930	4975
762	15948	4953
763	15968	4932
764	15988	4911
765	16006	4889
766	16027	4868
767	16047	4847
768	16059	4823
769	16080	4803
770	16102	4782
771	16122	4761
772	16141	4740
773	16162	4719
774	16181	4697
775	16206	4678
776	16225	4656
777	16245	4635
778	16265	4614
779	16286	4593
780	16306	4572
781	16324	4550
782	16346	4530
783	16366	4509
784	16387	4488
785	16407	4467
786	16425	4445
787	16447	4424
788	16467	4403
789	16487	4382
790	16508	4361
791	16527	4340
792	16548	4319
793	16559	4296
794	16577	4274
795	16599	4254
796	16615	4231
797	16639	4212
798	16658	4190
799	16679	4169
800	16701	4149
801	16719	4127
802	16740	4106
803	16759	4085
804	16778	4064
805	16800	4043
806	16819	4022
807	16840	4001
808	16851	3978
809	16872	3957
810	16892	3936
811	16912	3915
812	16931	3894
813	16950	3873
814	16969	3852
815	16989	3830
816	17010	3810
817	17032	3789
818	17050	3768
819	17070	3747
820	17091	3726
821	17111	3705
822	17149	3688
823	17168	3667
824	17190	3646
825	17210	3625
826	17231	3604
827	17258	3585
828	17279	3564
829	17302	3543
830	17322	3522
831	17339	3501
832	17360	3480
833	17372	3457
834	17393	3436
835	17410	3415
836	17420	3392
837	17441	3371
838	17461	3350
839	17482	3329
840	17504	3309
841	17524	3288
842	17543	3267
843	17562	3246
844	17582	3225
845	17604	3204
846	17624	3183
847	17649	3163
848	17670	3142
849	17687	3121
850	17705	3100
851	17726	3079
852	17748	3058
853	17769	3037
854	17791	3017
855	17815	2997
856	17836	2976
857	17855	2955
858	17876	2934
859	17898	2913
860	17918	2892
861	17939	2872
862	17959	2851
863	17978	2829
864	17998	2809
865	18018	2788
866	18038	2767
867	18057	2746
868	18077	2725
869	18096	2704
870	18116	2683
871	18140	2662
872	18162	2642
873	18181	2621
874	18202	2600
875	18221	2579
876	18239	2558
877	18260	2537
878	18279	2516
879	18298	2495
880	18317	2474
881	18337	2453
882	18357	2432
883	18377	2411
884	18394	2390
885	18416	2369
886	18434	2348
887	18452	2327
888	18470	2306
889	18491	2285
890	18511	2264
891	18530	2243
892	18550	2222
893	18572	2202
894	18595	2181
895	18613	2160
896	18632	2139
897	18651	2118
898	18670	2097
899	18688	2076
900	18709	2055
901	18731	2035
902	18744	2013
903	18764	1992
904	18783	1971
905	18800	1950
906	18821	1929
907	18839	1908
908	18859	1888
909	18880	1867
910	18898	1846
911	18917	1825
912	18929	1803
913	18952	1783
914	18972	1762
915	18992	1741
916	19003	1720
917	19023	1699
918	19042	1678
919	19063	1657
920	19085	1637
921	19107	1616
922	19127	1595
923	19146	1574
924	19168	1554
925	19189	1533
926	19209	1512
927	19230	1491
928	19249	1471
929	19268	1450
930	19288	1429
931	19308	1408
932	19328	1388
933	19350	1367
934	19370	1346
935	19389	1325
936	19407	1304
937	19426	1284
938	19445	1263
939	19465	1242
940	19475	1221
941	19494	1200
942	19514	1179
943	19533	1158
944	19553	1138
945	19575	1117
946	19595	1096
947	19613	1075
948	19636	1055
949	19656	1034
950	19676	1013
951	19696	993
952	19708	971
953	19731	951
954	19751	930
955	19772	910
956	19793	889
957	19812	868
958	19830	847
959	19851	827
960	19872	806
961	19892	785
962	19912	765
963	19934	744
964	19953	723
965	19973	702
966	19994	682
967	20015	661
968	20034	640
969	20052	620
970	20064	599
971	20081	578
972	20100	557
973	20119	537
974	20140	516
975	20161	495
976	20181	475
977	20205	454
978	20214	433
979	20234	412
980	20253	392
981	20272	371
982	20291	350
983	20313	330
984	20333	309
985	20352	288
986	20371	268
987	20381	247
988	20401	226
989	20421	206
990	20442	185
991	20462	165
992	20478	144
993	20495	123
994	20517	103
995	20529	82
996	20541	61
997	20553	41
998	20563	20
999	20575	0
