iter	RMSE
382	0.7865893595
383	0.7865893589
384	0.7865893555
385	0.7865893502
386	0.7865893437
387	0.7865893417
388	0.78658934
389	0.7865893397
390	0.786589329
391	0.7865893286
392	0.7865893268
393	0.7865893171
394	0.7865893114
395	0.7865893094
396	0.7865893031
397	0.7865892961
398	0.7865892961
399	0.7865892892
400	0.7865892888
401	0.7865892876
402	0.7865892844
403	0.7865892703
404	0.7865892682
405	0.7865892674
406	0.7865892672
407	0.786589265
408	0.7865892644
409	0.7865892575
410	0.7865892575
411	0.7865892556
412	0.7865892554
413	0.786589254
414	0.7865892491
415	0.7865892479
416	0.7865892466
417	0.7865892463
418	0.7865892374
419	0.7865892323
420	0.7865892312
421	0.78658923
422	0.7865892285
423	0.7865892264
424	0.7865892262
425	0.7865892256
426	0.7865892219
427	0.7865892212
428	0.7865892201
429	0.7865892193
430	0.7865892102
431	0.7865892101
432	0.7865892095
433	0.7865892076
434	0.7865892063
435	0.786589206
436	0.786589206
437	0.7865891994
438	0.7865891983
439	0.7865891972
440	0.786589197
441	0.7865891969
442	0.7865891963
443	0.7865891961
444	0.786589196
445	0.786589194
446	0.7865891841
447	0.786589182
448	0.7865891706
449	0.7865891697
450	0.7865891651
451	0.7865891588
452	0.7865891587
453	0.7865891586
454	0.786589158
455	0.786589155
456	0.7865891488
457	0.7865891425
458	0.7865891417
459	0.786589141
460	0.78658914
461	0.7865891397
462	0.7865891375
463	0.7865891374
464	0.7865891373
465	0.786589132
466	0.7865891299
467	0.7865891297
468	0.7865891293
469	0.7865891249
470	0.7865891247
471	0.7865891247
472	0.7865891246
473	0.7865891243
474	0.7865891241
475	0.7865891238
476	0.7865891192
477	0.7865891157
478	0.7865891156
479	0.7865891144
480	0.7865891136
481	0.7865891135
482	0.7865891106
483	0.7865891073
484	0.786589105
485	0.7865891041
486	0.7865891036
487	0.7865891035
488	0.7865891007
489	0.7865891006
490	0.7865891006
491	0.7865890987
492	0.7865890985
493	0.7865890963
494	0.7865890954
495	0.7865890903
496	0.7865890895
497	0.7865890874
498	0.7865890842
499	0.7865890841
500	0.7865890834
501	0.786589081
502	0.7865890808
503	0.7865890743
504	0.7865890742
505	0.7865890739
506	0.7865890724
507	0.7865890718
508	0.7865890716
509	0.7865890715
510	0.7865890709
511	0.7865890707
512	0.7865890703
513	0.7865890655
514	0.7865890653
515	0.7865890649
516	0.7865890646
517	0.7865890646
518	0.7865890602
519	0.7865890599
520	0.7865890594
521	0.7865890592
522	0.786589059
523	0.7865890584
524	0.7865890584
525	0.7865890583
526	0.786589058
527	0.7865890579
528	0.786589055
529	0.7865890537
530	0.7865890536
531	0.7865890528
532	0.7865890501
533	0.7865890497
534	0.7865890496
535	0.7865890492
536	0.786589049
537	0.7865890488
538	0.7865890485
539	0.7865890485
540	0.7865890485
541	0.7865890484
542	0.7865890484
543	0.786589047
544	0.7865890465
545	0.7865890465
546	0.7865890465
547	0.7865890464
548	0.7865890464
549	0.7865890422
550	0.7865890384
551	0.7865890378
552	0.7865890352
553	0.7865890347
554	0.7865890346
555	0.7865890332
556	0.7865890269
557	0.7865890269
558	0.7865890268
559	0.7865890266
560	0.7865890263
561	0.7865890248
562	0.7865890246
563	0.7865890242
564	0.7865890241
565	0.786589024
566	0.7865890239
567	0.7865890215
568	0.78658902
569	0.7865890196
570	0.786589019
571	0.7865890187
572	0.7865890177
573	0.7865890176
574	0.7865890175
575	0.7865890164
576	0.7865890161
577	0.7865890136
578	0.7865890134
579	0.7865890134
580	0.7865890134
581	0.7865890133
582	0.7865890132
583	0.7865890131
584	0.786589012
585	0.7865890115
586	0.7865890113
587	0.7865890109
588	0.7865890106
589	0.7865890105
590	0.7865890101
591	0.7865890097
592	0.7865890095
593	0.7865890095
594	0.7865890091
595	0.786589009
596	0.7865890088
597	0.7865890062
598	0.7865890061
599	0.786589006
600	0.7865890053
601	0.7865890052
602	0.7865890043
603	0.7865890033
604	0.7865890031
605	0.786589003
606	0.7865890028
607	0.7865890025
608	0.7865890015
609	0.7865890015
610	0.786588999
611	0.786588999
612	0.7865889987
613	0.7865889987
614	0.7865889987
615	0.7865889984
616	0.7865889984
617	0.7865889981
618	0.786588998
619	0.7865889975
620	0.7865889975
621	0.7865889975
622	0.7865889969
623	0.7865889969
624	0.7865889966
625	0.7865889942
626	0.7865889942
627	0.7865889937
628	0.7865889936
629	0.7865889927
630	0.7865889907
631	0.7865889907
632	0.7865889906
633	0.7865889904
634	0.7865889903
635	0.7865889902
636	0.7865889894
637	0.7865889885
638	0.7865889878
639	0.7865889876
640	0.7865889876
641	0.7865889874
642	0.7865889871
643	0.7865889849
644	0.7865889844
645	0.7865889843
646	0.7865889843
647	0.7865889841
648	0.7865889839
649	0.7865889838
650	0.786588983
651	0.786588983
652	0.7865889829
653	0.7865889828
654	0.7865889828
655	0.7865889808
656	0.7865889805
657	0.78658898
658	0.7865889798
659	0.7865889798
660	0.7865889798
661	0.7865889798
662	0.7865889798
663	0.7865889776
664	0.7865889776
665	0.7865889775
666	0.7865889762
667	0.7865889761
668	0.786588976
669	0.7865889759
670	0.7865889756
671	0.7865889727
672	0.7865889727
673	0.7865889727
674	0.7865889716
675	0.7865889715
676	0.7865889714
677	0.7865889714
678	0.7865889714
679	0.7865889679
680	0.7865889679
681	0.7865889679
682	0.7865889661
683	0.786588966
684	0.7865889652
685	0.7865889652
686	0.7865889652
687	0.7865889645
688	0.7865889645
689	0.7865889644
690	0.7865889643
691	0.786588964
692	0.7865889639
693	0.7865889639
694	0.7865889638
695	0.7865889636
696	0.7865889636
697	0.7865889622
698	0.7865889619
699	0.7865889619
700	0.7865889618
701	0.7865889618
702	0.7865889618
703	0.7865889618
704	0.7865889618
705	0.7865889617
706	0.7865889611
707	0.7865889604
708	0.7865889601
709	0.7865889568
710	0.7865889567
711	0.7865889567
712	0.7865889567
713	0.7865889564
714	0.7865889564
715	0.7865889564
716	0.7865889564
717	0.7865889564
718	0.7865889562
719	0.7865889559
720	0.7865889559
721	0.7865889559
722	0.7865889559
723	0.7865889556
724	0.7865889556
725	0.7865889556
726	0.7865889527
727	0.7865889527
728	0.7865889521
729	0.7865889517
730	0.7865889513
731	0.7865889512
732	0.786588951
733	0.7865889509
734	0.7865889509
735	0.7865889508
736	0.7865889507
737	0.7865889507
738	0.7865889507
739	0.7865889506
740	0.7865889506
741	0.7865889506
742	0.7865889506
743	0.7865889506
744	0.7865889505
745	0.7865889505
746	0.7865889505
747	0.7865889501
748	0.78658895
749	0.7865889497
750	0.7865889497
751	0.7865889497
752	0.7865889497
753	0.7865889493
754	0.7865889493
755	0.7865889492
756	0.7865889489
757	0.7865889489
758	0.7865889478
759	0.7865889478
760	0.7865889478
761	0.7865889478
762	0.7865889478
763	0.7865889475
764	0.7865889467
765	0.786588946
766	0.786588946
767	0.786588946
768	0.7865889459
769	0.7865889459
770	0.7865889457
771	0.7865889457
772	0.7865889456
773	0.7865889456
774	0.7865889456
775	0.7865889455
776	0.7865889454
777	0.7865889436
778	0.7865889419
779	0.7865889419
780	0.7865889419
781	0.7865889419
782	0.7865889418
783	0.7865889418
784	0.7865889418
785	0.7865889418
786	0.7865889417
787	0.7865889417
788	0.7865889401
789	0.7865889401
790	0.7865889387
791	0.7865889385
792	0.7865889385
793	0.7865889384
794	0.7865889384
795	0.7865889384
796	0.7865889378
797	0.7865889375
798	0.7865889375
799	0.7865889374
800	0.7865889374
801	0.7865889374
802	0.7865889373
803	0.7865889373
804	0.7865889373
805	0.7865889373
806	0.7865889373
807	0.7865889373
808	0.7865889373
809	0.7865889372
810	0.7865889372
811	0.7865889372
812	0.7865889372
813	0.7865889372
814	0.7865889372
815	0.7865889371
816	0.7865889371
817	0.7865889371
818	0.786588937
819	0.7865889369
820	0.7865889368
821	0.7865889367
822	0.7865889367
823	0.7865889367
824	0.7865889366
825	0.7865889366
826	0.7865889366
827	0.7865889366
828	0.7865889366
829	0.7865889366
830	0.7865889366
831	0.7865889366
832	0.7865889365
833	0.7865889365
834	0.7865889365
835	0.7865889365
836	0.7865889365
837	0.7865889365
838	0.7865889365
839	0.7865889348
840	0.7865889334
841	0.7865889334
842	0.7865889334
843	0.7865889333
844	0.7865889331
845	0.7865889331
846	0.7865889331
847	0.7865889328
848	0.7865889327
849	0.7865889321
850	0.7865889321
851	0.7865889321
852	0.786588932
853	0.786588932
854	0.786588932
855	0.78658893
856	0.78658893
857	0.78658893
858	0.78658893
859	0.78658893
860	0.78658893
861	0.78658893
862	0.78658893
863	0.7865889299
864	0.7865889299
865	0.7865889299
866	0.7865889287
867	0.7865889287
868	0.786588927
869	0.786588927
870	0.7865889269
871	0.7865889258
872	0.7865889258
873	0.7865889258
874	0.7865889258
875	0.7865889258
876	0.7865889254
877	0.7865889251
878	0.7865889251
879	0.7865889251
880	0.7865889251
881	0.7865889251
882	0.7865889251
883	0.7865889251
884	0.7865889251
885	0.7865889251
886	0.786588925
887	0.786588925
888	0.786588925
889	0.786588925
890	0.786588925
891	0.786588925
892	0.786588925
893	0.786588925
894	0.786588925
895	0.786588925
896	0.7865889248
897	0.7865889245
898	0.7865889244
899	0.7865889243
900	0.7865889243
901	0.7865889243
902	0.7865889243
903	0.7865889243
904	0.7865889243
905	0.7865889243
906	0.7865889228
907	0.7865889228
908	0.7865889226
909	0.7865889226
910	0.7865889226
911	0.7865889225
912	0.7865889225
913	0.7865889225
914	0.786588922
915	0.786588922
916	0.786588922
917	0.786588922
918	0.786588922
919	0.786588922
920	0.7865889219
921	0.7865889219
922	0.7865889219
923	0.7865889219
924	0.7865889219
925	0.7865889218
926	0.7865889218
927	0.7865889218
928	0.7865889218
929	0.7865889218
930	0.7865889218
931	0.7865889217
932	0.7865889217
933	0.7865889217
934	0.7865889217
935	0.7865889217
936	0.7865889217
937	0.7865889217
938	0.7865889217
939	0.7865889217
940	0.7865889216
941	0.7865889216
942	0.7865889216
943	0.7865889216
944	0.7865889203
945	0.7865889203
946	0.7865889203
947	0.7865889202
948	0.7865889202
949	0.7865889202
950	0.7865889202
951	0.7865889202
952	0.7865889202
953	0.7865889202
954	0.7865889202
955	0.7865889201
956	0.7865889201
957	0.7865889201
958	0.7865889201
959	0.7865889201
960	0.7865889201
961	0.78658892
962	0.7865889199
963	0.7865889199
964	0.7865889199
965	0.7865889199
966	0.7865889199
967	0.7865889199
968	0.7865889199
969	0.7865889199
970	0.7865889199
971	0.7865889199
972	0.7865889199
973	0.7865889199
974	0.7865889199
975	0.7865889199
976	0.7865889199
977	0.7865889199
978	0.7865889199
979	0.7865889199
980	0.7865889198
981	0.7865889198
982	0.7865889198
983	0.7865889198
984	0.7865889198
985	0.7865889198
986	0.7865889198
987	0.7865889198
988	0.7865889198
989	0.7865889197
990	0.7865889197
991	0.7865889197
992	0.7865889197
993	0.7865889197
994	0.7865889197
995	0.7865889197
996	0.7865889197
997	0.7865889197
998	0.7865889197
999	0.7865889196
699
